,Contributor,Taxon,UniqueID,AphiaID,Relative.Adult.Mobility,Relative.Adult.Mobility.Certainty,Relative.Adult.Mobility.Reference,Estimated.Max.Body.Size,Estimated.Max.Body.Size.Certainty,Estimated.Max.Body.Size.Reference,Gregariousness,Gregariousness.Certainty,Gregariousness.Reference,Foundation.Species,Foundation.Species.Certainty,Foundation.Species.Reference,Habitat.Complexity,Habitat.Complexity.Certainty,Habitat.Complexity.Reference,Abundance,Abundance.Certainty,Abundance.Reference,Chemosynthesis.Obligate,Chemosynthesis.Obligate.Certainty,Chemosynthesis.Obligate.Reference,Position.of.Symbiont,Position.of.Symbiont.Certainty,Position.of.Symbiont.Reference,Min.Depth.Range.Lower.Bound,Min.Depth.Range.Upper.Bound,Max.Depth.Range.Lower.Bound,Max.Depth.Range.Upper.Bound,Depth.Range.Certainty,Depth.Range.Reference,Substratum,Substratum.Certainty,Substratum.Reference,Zonation.From.Vent,Zonation.From.Vent.Certainty,Zonation.From.Vent.Reference,Nutritional.Source,Nutritional.Source.Certainty,Nutritional.Source.Reference,Trophic.Mode,Trophic.Mode.Certainty,Trophic.Mode.Reference,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies
481,jtc@soton.ac.uk; asac1g09@soton.ac.uk,"Polynoidae gen. nov. sp. nov. ""655""",Pol481,939,3,3,102,100,2,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vent,3,66,NA,NA,NA,2500,3000,2500,3000,NA,66,NA,NA,NA,NA,NA,NA,Fauna,NA,-9997,NA,NA,NA,Annelida,Polychaeta,Phyllodocida,Polynoidae,,,,
482,jtc@soton.ac.uk; daphne.cuvelier@gmail.com,Prionospio cf. unilamellata,Pri482,331148,3,3,102,1,NA,-9997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vent,2,-9999,NA,NA,NA,1500,2000,2500,3000,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,unilamellata,
483,William.Reid@newcastle.ac.uk; asac1g09@soton.ac.uk,Prionospio cirrifera,Pri483,131153,3,NA,-9997,1,NA,-9997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,3,512,None,3,NA,500,1000,500,1000,NA,512,NA,NA,NA,Low,2,512,Sediment or rock surface,2,NA,Detritivore,2,NA,Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,cirrifera,
484,sam.southgate@hotmail.co.uk; smills@whoi.edu; asac1g09@soton.ac.uk,Prionospio sandersi,Pri484,558842,3,1,129,10,3,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vent,3,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Water column,3,129,Detritivore,3,129,Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,sandersi,
485,moriakiyasuhara@gmail.com; sabine.gollner@nioz.nl,Prionotoleberis styx,Pri485,451152,4,2,66,10,3,129,Never,3,NA,No,3,66,Does not add,3,66,Low,3,66,Vent,2,196; 66,None,2,66,2000,2500,2500,3000,2,196; 66,Water column,3,200; 60,Medium,3,196,Sediment or rock surface,2,129,Bacterivore,1.5,129,Arthropoda,Ostracoda,Myodocopida,Cylindroleberididae,Prionotoleberis,,styx,
486,sam.southgate@hotmail.co.uk,Protis hydrothermica,Pro486,329926,1,1,129,100,3,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vent,3,129,NA,NA,NA,2500,3000,2500,3000,3,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Annelida,Polychaeta,Sabellida,Serpulidae,Protis,,hydrothermica,
487,daphne.cuvelier@gmail.com; gorolen@mail.ru; asac1g09@soton.ac.uk; jtc@soton.ac.uk,Protolira thorvaldssoni,Pro487,181389,3,NA,-9997,10,2,NA,Never,3,NA,No,3,NA,Does not add,2,NA,High,2,NA,Other CBE,2,NA,None,3,NA,500,1000,4000,4500,2,NA,Hard,2,NA,Low,3,NA,Sediment or rock surface,3,NA,Detritivore,2,NA,Mollusca,Gastropoda,Trochida,Skeneidae,Protolira,,thorvaldssoni,
488,daphne.cuvelier@gmail.com; gorolen@mail.ru; William.Reid@newcastle.ac.uk; maria.aa.colaco@uac.pt; marjolaine.Matabos@ifremer.fr; asac1g09@soton.ac.uk; jtc@soton.ac.uk,Protolira valvatoides,Pro488,180901,3,3,66,10,2,NA,Never,3,NA,No,3,66,Does not add,2,66,Low,3,120,Vent,2,129; 66,None,3,66,500,1000,3000,3500,2,129; 66,Hard,2,66,Low,3,129; 66,Sediment or rock surface,2.333333333,129; 66,Detritivore,2,129; 66,Mollusca,Gastropoda,Trochida,Skeneidae,Protolira,,valvatoides,
489,asac1g09@soton.ac.uk; William.Reid@newcastle.ac.uk; verenat; reboschen@uvic.ca,Protomystides verenae,Pro489,331335,3,3,66,100,3,66,Sometimes,NA,NA,No,3,129; 66,Does not add,NA,NA,Low,3,66; 48,Vent,3,129; 66,None,3,66,2000,2500,2000,2500,3,66; 48,Hard,2,129,Medium,3,66,Fauna,3,129; 66,Carnivore O,3,129; 66,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Protomystides,,verenae,
490,asac1g09@soton.ac.uk,Provanna buccinoides,Pro490,450001,3,2,66,10,3,129,NA,NA,NA,NA,NA,NA,Does not add,NA,NA,NA,NA,NA,Vent,3,277,NA,NA,NA,1500,2000,2500,3000,3,277,NA,NA,NA,NA,NA,NA,Sediment or rock surface,3,129,Detritivore,3,129,Mollusca,Gastropoda,[unassigned] Caenogastropoda,Provannidae,Provanna,,buccinoides,
491,cchen@jamstec.go.jp; hwatanabe@jamstec.go.jp,Provanna clathrata,Pro491,874722,2,2,66,10,3,455; 66,Always,3,NA,No,3,NA,Does not add,3,NA,High,3,66,Vent,3,455; 66,None,3,NA,500,1000,2000,2500,3,66,Hard,3,66,Medium,3,66,Sediment or rock surface,2,NA,Bacterivore,2,NA,Mollusca,Gastropoda,[unassigned] Caenogastropoda,Provannidae,Provanna,,clathrata,
492,sam.southgate@hotmail.co.uk; abates@mun.ca; asac1g09@soton.ac.uk,Provanna ios,Pro492,450004,3,3,129,10,3,129,Always,1,NA,NA,NA,NA,Does not add,NA,NA,High,1,NA,Vent,3,129,NA,NA,NA,2000,2500,2500,3000,3,277,NA,NA,NA,NA,NA,NA,Sediment or rock surface,NA,66,Detritivore,3,129,Mollusca,Gastropoda,[unassigned] Caenogastropoda,Provannidae,Provanna,,ios,
493,asac1g09@soton.ac.uk; sam.southgate@hotmail.co.uk; William.Reid@newcastle.ac.uk; verenat; abates@mun.ca,Provanna laevis,Pro493,450005,3,3,66,10,3,129; 66,NA,NA,NA,No,3,66,Does not add,NA,NA,High,1,NA,Other CBE,3,129; 66,None,2,66,0,500,1500,2000,3,277,NA,NA,NA,NA,NA,NA,Sediment or rock surface,2,66,Detritivore,3,66,Mollusca,Gastropoda,[unassigned] Caenogastropoda,Provannidae,Provanna,,laevis,
494,cchen@jamstec.go.jp; hwatanabe@jamstec.go.jp,Provanna lucida,Pro494,874721,2,2,66,10,3,455; 66,Always,3,NA,No,3,NA,Does not add,3,NA,Low,3,NA,Vent,3,66; 455,None,3,NA,500,1000,1500,2000,3,NA,Hard,3,66,Medium,2.5,66,Sediment or rock surface,2,NA,Bacterivore,2,NA,Mollusca,Gastropoda,[unassigned] Caenogastropoda,Provannidae,Provanna,,lucida,
495,sam.southgate@hotmail.co.uk; abates@mun.ca,Provanna muricata,Pro495,450008,3,3,129,10,3,129,Always,1,NA,NA,NA,NA,Does not add,NA,NA,High,1,NA,Vent,3,129,NA,NA,NA,2000,2500,2500,3000,3,277,NA,NA,NA,NA,NA,NA,Sediment or rock surface,NA,66,Detritivore,3,129,Mollusca,Gastropoda,[unassigned] Caenogastropoda,Provannidae,Provanna,,muricata,
496,asac1g09@soton.ac.uk; hwatanabe@jamstec.go.jp; stace@whoi.edu; smills@whoi.edu,Provanna nassariaeformis,Pro496,450009,2,2,NA,10,3,129; 66,NA,NA,NA,NA,NA,NA,Does not add,NA,NA,NA,NA,NA,Vent,2,NA,None,2,NA,1000,2500,3500,4000,2,66; 277,Hard,3,NA,Medium,2,NA,Sediment or rock surface,3,129; 66,Detritivore,3,129; 66,Mollusca,Gastropoda,[unassigned] Caenogastropoda,Provannidae,Provanna,,nassariaeformis,
497,asac1g09@soton.ac.uk,Provanna segonzaci,Pro497,450011,3,2,66,10,3,129,NA,NA,NA,NA,NA,NA,Does not add,NA,NA,NA,NA,NA,Vent,3,277,NA,NA,NA,1500,2000,1500,2000,NA,277,NA,NA,NA,NA,NA,NA,Sediment or rock surface,3,129,Detritivore,3,129,Mollusca,Gastropoda,[unassigned] Caenogastropoda,Provannidae,Provanna,,segonzaci,
498,kl@bas.ac.uk; abates@mun.ca; jtc@soton.ac.uk; asac1g09@soton.ac.uk,"Provanna sp. ESR ""cooki""",Pro498,391510,3,3,NA,10,3,NA,Sometimes,NA,NA,NA,NA,NA,Does not add,NA,NA,NA,NA,NA,Vent,3,NA,NA,NA,NA,2000,2500,2500,3000,NA,645,Hard,NA,66,High,3,NA,Sediment or rock surface,NA,66,Bacterivore,3,NA,Mollusca,Gastropoda,[unassigned] Caenogastropoda,Provannidae,Provanna,,,
499,cchen@jamstec.go.jp; hwatanabe@jamstec.go.jp,Provanna subglabra,Pro499,874719,2,2,66,10,3,455; 66,Always,3,NA,No,3,NA,Does not add,3,NA,High,3,NA,Other CBE,2.5,455; 66,None,3,NA,500,1000,2000,2500,3,66,Hard,3,66,Medium,3,66,Sediment or rock surface,2,NA,Bacterivore,2,NA,Mollusca,Gastropoda,[unassigned] Caenogastropoda,Provannidae,Provanna,,subglabra,
500,asac1g09@soton.ac.uk; William.Reid@newcastle.ac.uk; verenat; abates@mun.ca,Provanna variabilis,Pro500,450012,3,3,66,10,3,129; 66,Sometimes,NA,66,No,3,66,Does not add,NA,NA,High,NA,NA,Other CBE,2,277,None,2,66,0,500,2000,2500,NA,66; 277,Hard,NA,66,Medium,NA,66,Sediment or rock surface,2.333333333,66,Detritivore,3,66,Mollusca,Gastropoda,[unassigned] Caenogastropoda,Provannidae,Provanna,,variabilis,
501,ijc1g15@soton.ac.uk; asac1g09@soton.ac.uk,Pseudoceramaster misakiensis,Pse501,883365,3,3,-9996,100,3,600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,1,600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fauna,2,171,NA,NA,NA,Echinodermata,Asteroidea,Valvatida,Goniasteridae,Pseudoceramaster,,misakiensis,
502,asac1g09@soton.ac.uk; stace@whoi.edu; verenat; smills@whoi.edu,Pseudorimula marianae,Pse502,450013,3,2,66,10,3,129,Sometimes,NA,66,No,NA,NA,Does not add,NA,NA,NA,NA,NA,Vent,3,129,NA,NA,NA,2500,3000,3500,4000,NA,66,Hard,NA,NA,Medium,NA,66,Sediment or rock surface,2,66,Detritivore,2,66,Mollusca,Gastropoda,Lepetellida,Lepetodrilidae,Pseudorimula,,marianae,
503,daphne.cuvelier@gmail.com; gorolen@mail.ru; sam.southgate@hotmail.co.uk; William.Reid@newcastle.ac.uk; maria.aa.colaco@uac.pt; jtc@soton.ac.uk; asac1g09@soton.ac.uk,Pseudorimula midatlantica,Pse503,180910,3,3,66,10,3,129; 66,Never,3,NA,No,3,66,Does not add,3,NA,High,2,NA,Vent,3,129; 66,None,3,66,1500,2000,4000,4500,2,66; 129,Hard,2,66,High,3,66,Sediment or rock surface,2.5,66,Detritivore,2,expert opiniom,Mollusca,Gastropoda,Lepetellida,Lepetodrilidae,Pseudorimula,,midatlantica,
504,hans.rapp@uib.no; William.Reid@newcastle.ac.uk,Pseudosetia griegi,Pse504,138454,3,3,66,1,3,66,Always,3,410,No,3,66,Does not add,3,66,High,3,410,Other CBE,3,410,None,3,66,500,1000,2000,2500,2,66,Hard,3,66,Medium,3,410,Sediment or rock surface,2,410; 66,Bacterivore,2,66,Mollusca,Gastropoda,Littorinimorpha,Rissoidae,Pseudosetia,,griegi,
505,asac1g09@soton.ac.uk; cchen@jamstec.go.jp,Puncturella parvinobilis,Pun505,512329,2,2,66,10,3,NA,Never,3,NA,No,3,NA,Does not add,3,NA,Low,3,NA,Vent,3,NA,None,3,NA,500,1000,1500,2000,3,NA,Hard,3,66,Medium,2,66,Sediment or rock surface,2,NA,Bacterivore,2,NA,Mollusca,Gastropoda,Lepetellida,Fissurellidae,Puncturella,,parvinobilis,
506,asac1g09@soton.ac.uk; cchen@jamstec.go.jp,Puncturella rimaizenaensis,Pun506,512330,2,2,66,10,3,66,Never,3,NA,No,3,NA,Does not add,3,NA,Low,3,NA,Vent,3,NA,None,3,NA,500,1000,1500,2000,3,NA,Hard,3,66,Medium,2,66,Sediment or rock surface,2,NA,Bacterivore,2,NA,Mollusca,Gastropoda,Lepetellida,Fissurellidae,Puncturella,,rimaizenaensis,
507,asac1g09@soton.ac.uk,Puncturella solis,Pun507,510042,3,NA,-9997,10,NA,-9997,NA,NA,NA,NA,NA,NA,Does not add,NA,NA,NA,NA,NA,Vent,3,277,NA,NA,NA,1000,1500,1000,1500,3,277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mollusca,Gastropoda,Lepetellida,Fissurellidae,Puncturella,,solis,
508,asac1g09@soton.ac.uk,Pyropelta bohlei,Pyr508,450014,3,2,66,10,3,129,NA,NA,NA,No,NA,NA,Does not add,NA,NA,NA,NA,NA,Vent,3,129,NA,NA,NA,1000,1500,1000,1500,NA,277,Hard,3,129,Medium,1,66; 129,Sediment or rock surface,2,66,Detritivore,2,66,Mollusca,Gastropoda,Lepetellida,Pyropeltidae,Pyropelta,,bohlei,
509,sam.southgate@hotmail.co.uk; asac1g09@soton.ac.uk,Pyropelta corymba,Pyr509,450015,3,3,129,1,3,129,NA,NA,NA,No,NA,NA,Does not add,NA,NA,NA,NA,NA,Other CBE,3,277,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hard,3,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mollusca,Gastropoda,Lepetellida,Pyropeltidae,Pyropelta,,corymba,
510,asac1g09@soton.ac.uk; verenat; abates@mun.ca,Pyropelta musaica,Pyr510,450016,2,3,66,10,3,129; 356,Sometimes,NA,NA,No,3,66,Does not add,NA,NA,Low,NA,NA,Other CBE,3,66,None,2,66,1000,1500,2000,2500,NA,277,Hard,3,129,Low,1,66; 129,Sediment or rock surface,2,66,Detritivore,2.5,66,Mollusca,Gastropoda,Lepetellida,Pyropeltidae,Pyropelta,,musaica,
511,cchen@jamstec.go.jp; asac1g09@soton.ac.uk,Pyropelta ryukyuensis,Pyr511,458313,2,2,66,10,3,NA,Sometimes,3,NA,No,3,NA,Does not add,3,NA,Low,3,NA,Vent,3,NA,None,3,NA,500,1000,1500,2000,3,NA,Hard,3,66,Medium,2,66,Sediment or rock surface,2,NA,Bacterivore,2,NA,Mollusca,Gastropoda,Lepetellida,Pyropeltidae,Pyropelta,,ryukyuensis,
512,kl@bas.ac.uk,Raricirrus sp. ESR,Rar512,129254,3,NA,NA,10,NA,NA,Sometimes,NA,NA,NA,NA,NA,Does not add,NA,66,High,NA,66,Other CBE,NA,66,NA,NA,NA,2000,2500,3000,3500,NA,645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Annelida,Polychaeta,Terebellida,Cirratulidae,Raricirrus,,,
513,William.Reid@newcastle.ac.uk; asac1g09@soton.ac.uk,Retiskenea diploura,Ret513,450017,3,1,-9996,10,NA,575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other CBE,NA,575; 429,None,3,NA,0,500,4500,5000,NA,575; 66,NA,NA,NA,NA,NA,NA,Sediment or rock surface,2,NA,Bacterivore,2,NA,Mollusca,Gastropoda,,[unassigned] Neomphaloidea,Retiskenea,,diploura,
514,sabine.gollner@nioz.nl; sam.southgate@hotmail.co.uk,Rhogobius contractus,Rho514,355309,4,2,66,10,3,66,NA,NA,NA,No,3,66,Does not add,2,66,High,3,200,Vent,3,196; 66; 129,None,2,66,1000,1500,3500,4000,3,196; 129,Hard,3,196,Medium,3,196,Sediment or rock surface,1,217,Bacterivore,1,217,Arthropoda,Hexanauplia,Siphonostomatoida,Dirivultidae,Rhogobius,,contractus,
515,sam.southgate@hotmail.co.uk; sabine.gollner@nioz.nl,Rhogobius pressulus,Rho515,355310,4,3,66,10,3,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,3,NA,Vent,3,129,NA,NA,NA,1000,1500,3500,4000,3,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arthropoda,Hexanauplia,Siphonostomatoida,Dirivultidae,Rhogobius,,pressulus,
516,bates.amanda@gmail.com; marjolaine.Matabos@ifremer.fr; William.Reid@newcastle.ac.uk,Rhynchopelta concentrica,Rhy516,450018,3,3,66,100,3,66; 129,NA,NA,NA,No,3,66,Does not add,2,66,NA,NA,NA,Vent,3,66; 129,None,3,NA,1500,2000,2500,3000,2,66; 147; 129,Hard,1.5,66; 129,Medium,2,expert opinon; 129,Sediment or rock surface,1.333333333,66,Bacterivore,3,176; 66,Mollusca,Gastropoda,,Peltospiridae,Rhynchopelta,,concentrica,
517,William.Reid@newcastle.ac.uk; tresa2812@gmail.com; lokabharathiponnapakkam@gmail.com; asac1g09@soton.ac.uk; ahilario@ua.pt; reboschen@uvic.ca,Ridgeia piscesae,Rid517,266009,1,3,492; 66,1000,3,494; 123; 129,Always,3,538; 129,Yes,3,538; 66,Dense bush forming,2.5,66,High,3,538,Vent,3,538; 129; 66,Endosymbiont,3,492; 414; 257; 129,1500,2000,2000,2500,2,494,Hard,3,494; 66,High,2.5,129; 543; 66; 538,Symbiont,3,414; 129; 66,Bacterivore,3,78; 414; 129; 66,Annelida,Polychaeta,Sabellida,Siboglinidae,Ridgeia,,piscesae,
518,ahilario@ua.pt; lokabharathiponnapakkam@gmail.com; sam.southgate@hotmail.co.uk; stace@whoi.edu; tresa2812@gmail.com; William.Reid@newcastle.ac.uk; smills@whoi.edu,Riftia pachyptila,Rif518,266010,1,3,66; 492,1000,3,66,Always,3,66,Yes,3,206; 129; 66,Dense bush forming,3,470; 66,High,3,470; 66; 129,Vent,3,183; 129; 66,Endosymbiont,3,74; 174; 327; 414; 129; 5,2000,2500,2500,3000,3,246; 66,Hard,3,66; 129,High,3,129; 66,Symbiont,3,74;  66,Bacterivore,3,74; 129; 66,Annelida,Polychaeta,Sabellida,Siboglinidae,Riftia,,pachyptila,
519,daphne.cuvelier@gmail.com; eva.ramirez@niva.no; gorolen@mail.ru; ijc1g15@soton.ac.uk; sam.southgate@hotmail.co.uk; William.Reid@newcastle.ac.uk; maria.aa.colaco@uac.pt; verenat; jtc@soton.ac.uk; asac1g09@soton.ac.uk,Rimicaris chacei,Rim519,586785,4,3,66,100,3,290; 129; 179,Always,3,129; 66,No,3,66,Does not add,3,66,High,3,129,Vent,3,178; 129; 66,Episymbiont,3,178; 465,1500,2000,4000,4500,3,290; 129; 179,Hard,3,129; 66; 119,High,3,129; 66; 119,Fauna,3,178; 125; 95,Bacterivore,2.6,178; 125; 96,Arthropoda,Malacostraca,Decapoda,Alvinocarididae,Rimicaris,,chacei,
520,daphne.cuvelier@gmail.com; eva.ramirez@niva.no; gorolen@mail.ru; lokabharathiponnapakkam@gmail.com; sam.southgate@hotmail.co.uk; William.Reid@newcastle.ac.uk; ijc1g15@soton.ac.uk; maria.aa.colaco@uac.pt; asac1g09@soton.ac.uk; jtc@soton.ac.uk,Rimicaris exoculata,Rim520,107542,4,3,129; 66,100,3,290; 129; 66,Always,3,129; 66,Yes,3,655,Does not add,2,66,High,3,129; 66,Vent,3,178; 129; 66,Episymbiont,3,178; 179; 236; 256; 209; 416,1500,2000,4000,4500,3,290; 129; 66,Hard,3,129; 66,High,3,129; 130,Symbiont,2.6,178; 179; 66; 96,Bacterivore,3,178; 179; 66,Arthropoda,Malacostraca,Decapoda,Alvinocarididae,Rimicaris,,exoculata,
521,divaamon@gmail.com; hwatanabe@jamstec.go.jp; jtc@soton.ac.uk; William.Reid@newcastle.ac.uk; asac1g09@soton.ac.uk,Rimicaris hybisae,Rim521,762988,4,3,390; 66,100,3,390; 66,Always,3,101; 66,No,2,392,Does not add,2,66,High,3,101; 66,Vent,3,390; 66,Episymbiont,3,390; 505; 66,2000,2500,4500,5000,3,390; 66,Hard,3,101; 66,High,3,101; 66,Symbiont,3,390; 47; 505; 66,Bacterivore,3,390; 47; 505; 66,Arthropoda,Malacostraca,Decapoda,Alvinocarididae,Rimicaris,,hybisae,
522,hwatanabe@jamstec.go.jp; jtc@soton.ac.uk; lokabharathiponnapakkam@gmail.com; Terue-Cristina.Kihara@senckenberg.de,Rimicaris kairei,Rim522,378102,4,NA,-9997,100,3,580,Always,NA,66,Yes,3,581,Does not add,3,66,High,NA,66,Vent,3,102; 66; 554,Episymbiont,3,102; 66; 554,2000,2500,3000,3500,3,66; 378; 102,Hard,3,102; 66; 581,High,3,102; 66; 581,Symbiont,3,102; 66; 554,Bacterivore,3,102; 66; 554,Arthropoda,Malacostraca,Decapoda,Alvinocarididae,Rimicaris,,kairei,
523,jtc@soton.ac.uk; verenat; asac1g09@soton.ac.uk,Rimicaris sp.,Rim523,107001,3,3,102,100,NA,-9997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vent,3,102,NA,NA,NA,2500,3000,2500,3000,NA,102,Hard,3,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arthropoda,Malacostraca,Decapoda,Alvinocarididae,Rimicaris,,,
524,verenat; asac1g09@soton.ac.uk; cpd4@psu.edu; ijc1g15@soton.ac.uk; William.Reid@newcastle.ac.uk,Rimicaris vandoverae,Rim524,932591,4,3,66,100,3,129,NA,NA,NA,No,3,66,NA,NA,NA,Low,2,129,Vent,3,129,None,3,66,1500,2000,3500,4000,3,66,Hard,3,66,Medium,3,129,Sediment or rock surface,3,NA,Bacterivore,2,NA,Arthropoda,Malacostraca,Decapoda,Alvinocarididae,Rimicaris,,vandoverae,
525,verenat@uvic.ca,Rimicaris variabilis,Rim525,932592,4,NA,NA,100,NA,NA,Always,NA,NA,No,NA,NA,Does not add,NA,NA,High,NA,NA,Vent,NA,NA,None,NA,NA,1500,2000,2000,2500,NA,NA,Hard,NA,NA,High,NA,NA,Sediment or rock surface,NA,NA,Detritivore,NA,NA,Arthropoda,Malacostraca,Decapoda,Alvinocarididae,Rimicaris,,variabilis,
526,gorolen@mail.ru; sam.southgate@hotmail.co.uk; sabine.gollner@nioz.nl,Rimipontius mediospinifer,Rim526,361210,4,3,66,10,3,66,Never,3,NA,No,3,NA,Does not add,3,NA,High,3,129; 66,Vent,3,129; 66,None,3,NA,1000,1500,3500,4000,3,129,Hard,2,NA,High,2,NA,Water column,2,NA,Bacterivore,2,NA,Arthropoda,Hexanauplia,Siphonostomatoida,Dirivultidae,Rimipontius,,mediospinifer,
527,stace@whoi.edu; leigh.marsh@southampton.ac.uk; smills@whoi.edu,Saxipendium coronatum,Sax527,266849,3,NA,NA,100,NA,NA,NA,NA,NA,No,NA,NA,Does not add,NA,NA,NA,NA,NA,Vent,2,NA,NA,NA,NA,2000,2500,2500,3000,3,NA,Hard,NA,NA,Low,NA,NA,NA,NA,NA,NA,NA,NA,Hemichordata,Enteropneusta,[unassigned] Enteropneusta,Harrimaniidae,Saxipendium,,coronatum,
528,hans.rapp@uib.no; asac1g09@soton.ac.uk,Sclerolinum contortum,Scl528,129130,1,3,66,100,3,66,Always,3,410,Yes,3,66,Dense bush forming,3,66,High,3,410,Other CBE,3,410,Endosymbiont,3,410,2000,2500,2000,2500,2,66,Soft,3,66,Medium,3,66,Symbiont,3,66,Bacterivore,NA,-9995,Annelida,Polychaeta,Sabellida,Siboglinidae,Sclerolinum,,contortum,
529,sam.southgate@hotmail.co.uk; tresa2812@gmail.com,Scoloplos (Scoloplos) ehlersi,Sco529,331778,3,1,129,10,3,129; 66,NA,NA,NA,No,2,129,NA,NA,NA,NA,NA,NA,Vent,3,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,Soft,3,129,NA,NA,NA,Sediment or rock surface,3,129,Detritivore,2,129; 66,Annelida,Polychaeta,,Orbiniidae,Scoloplos,Scoloplos,ehlersi,
530,bates.amanda@gmail.com; sabine.gollner@nioz.nl,Scotoecetes introrsus,Sco530,355586,4,NA,66,10,3,66,Sometimes,1,66,No,3,66,Does not add,2,66,High,2,66,Vent,2,196 ; 66; 541,None,3,66,2000,2500,2500,3000,2,196; 129,Hard,3,200,High,3,200; 196; 195,Sediment or rock surface,1,217,Bacterivore,1,217; 198,Arthropoda,Hexanauplia,Siphonostomatoida,Dirivultidae,Scotoecetes,,introrsus,
531,asac1g09@soton.ac.uk; tammy.horton@noc.ac.uk; William.Reid@newcastle.ac.uk; reboschen@uvic.ca; verenat,Seba profunda,Seb531,554814,2,3,637,10,2.8,66,Sometimes,2,637,No,3,66,Does not add,3,66,Low,3,637,Vent,2,637,None,3,NA,1500,2000,2000,2500,2.8,637; 66,Hard,3,637,Medium,2.5,637; 66,Sediment or rock surface,2,66,Carnivore S,2,637; 66,Arthropoda,Malacostraca,Amphipoda,Sebidae,Seba,,profunda,
532,daphne.cuvelier@gmail.com; gorolen@mail.ru; sam.southgate@hotmail.co.uk; William.Reid@newcastle.ac.uk; maria.aa.colaco@uac.pt; hourdez@sb-roscoff.fr; jtc@soton.ac.uk; asac1g09@soton.ac.uk,Segonzacia mesatlantica,Seg532,107266,3,3,66,100,3,129,Never,3,66,No,3,66,Does not add,3,66,Low,3,129; 66,Vent,3,129; 66,None,3,66,500,1000,4000,4500,2.75,151,Hard,3,129; 66,High,3,129; 66,Fauna,3,129; 66; 97; 119,Carnivore S,3,129; 66; 119,Arthropoda,Malacostraca,Decapoda,Bythograeidae,Segonzacia,,mesatlantica,
533,kl@bas.ac.uk; jtc@soton.ac.uk; asac1g09@soton.ac.uk,Sericosura bamberi,Ser533,852137,3,3,66,100,3,NA,Sometimes,NA,NA,No,NA,66,NA,NA,NA,High,NA,66,Vent,3,NA,NA,NA,NA,1000,1500,1000,1500,NA,645,Hard,NA,66,Medium,3,NA,NA,NA,NA,NA,3,NA,Arthropoda,Pycnogonida,Pantopoda,Ammotheidae,Sericosura,,bamberi,
534,asac1g09@soton.ac.uk; verenat,Sericosura cochleifovea (bifurcata),Ser534,239990,3,2,66,10,3,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vent,3,129,NA,NA,NA,3500,4000,3500,4000,3,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arthropoda,Pycnogonida,Pantopoda,Ammotheidae,Sericosura,,cochleifovea,
535,kl@bas.ac.uk; jtc@soton.ac.uk; asac1g09@soton.ac.uk,Sericosura curva,Ser535,852139,3,3,66,100,3,NA,Sometimes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vent,3,NA,NA,NA,NA,1000,1500,2000,2500,NA,645,Hard,NA,66,Medium,3,NA,NA,NA,NA,NA,3,NA,Arthropoda,Pycnogonida,Pantopoda,Ammotheidae,Sericosura,,curva,
536,bates.amanda@gmail.com,Sericosura cyrtoma,Ser536,240423,3,3,66,100,1,66,Sometimes,1,66,No,3,66,Does not add,2,66,NA,NA,NA,Vent,1,129,NA,NA,NA,2500,3000,2500,3000,1,129,Hard,1,66,Medium,1,129,Fauna,2,66,Carnivore O,1,expert opinon,Arthropoda,Pycnogonida,Pantopoda,Ammotheidae,Sericosura,,cyrtoma,
